Run, Ant ID, Partial Solution (S), Profit(Z), Capacity(V)
1,8,[120  77 120  98  94 118 120],1474, 747
1,54,[70 87 80 73 80 80 80 82],1193, 632
    
2,45,[120  98 120  94  77 118 120],1474, 747
2,44,[ 87  80  87  80 106 106  87],1191, 633
    
3,48,[ 77  98 115 120 120  98 120],1474, 748
3,53,[ 73  87 110  87  87 106  80],1189, 630
    
4,5,[ 98 120  94 120  98  98 120],1480, 748
4,88,[ 73  87 113  80  87  82 110],1195, 632
    
5,7,[120  94  98 120 120 120  77],1485, 749
5,61,[ 87  80  77  80 110 110  87],1195, 631
    
6,4,[120 115  94 120  98  82 120],1473, 749
6,83,[ 80  87 113 110  73  80  87],1189, 630
    
7,71,[ 94 120 120  73  98 120 120],1475, 745
7,56,[113  82  87  73  80  80 115],1193, 630
    
8,71,[ 90 120 120  82  94 120 120],1473, 746
8,69,[ 80 113 106  87  80  77  87],1190, 630
    
9,7,[120  98  90 120 120  80 120],1475, 748
9,81,[ 87  82  80  82 106 106  87],1190, 630
    
10,17,[ 73  77 120 120 120 120 118],1477, 748
10,75,[ 87  87 106 106  77  80  87],1190, 630
    
11,92,[120  98  98 120  77 120 115],1474, 748
11,44,[106  80  87  87  87  80 106],1191, 633
    
12,4,[ 77 115  77 120 120 120 120],1479, 749
12,62,[ 80  80  87 113  77 115  80],1197, 632
    
13,90,[120 120  98  98  98 120  94],1480, 748
13,49,[106  87  80  87  87 110  73],1189, 630
    
14,8,[120 120  98 120 120  98  70],1479, 746
14,49,[ 80  87  87 110  73  80 113],1189, 630
    
15,63,[ 77 110 120  82 120 120 120],1475, 749
15,47,[ 80  80  82  80 113 106  90],1194, 631
    
